Title,Primary Author,Publication,Date,Media,Page Count,Collections,ISBN,ISBNs,Copies
50 shades of Grey Matter,"Kruszelnicki, Karl",Macmillan,,Paperback,,"Your library, Science/Math/Engineering",[1742612857],"[1742612857, 9781742612850]",1
Bleach Volume 21: Be My Family or Not,"Kubo, Tite","Viz LLC (2007), Edition: Illustrated, 200 pages",2015,Paperback,200 ,Your library,[9781421511658],"[9781421511658, 1421511657]",1
"Bleach, Vol. 20","Kubo, Tite","VIZ Media LLC (2007), Edition: Illustrated, 232 pages",2007,Paperback,232 ,Your library,[9781421510446],"[9781421510446, 1421510448]",1
"Bleach, Vol. 19","Kubo, Tite","VIZ Media LLC (2007), 216 pages",2007,Paperback,216 ,Your library,[9781421510439],"[9781421510439, 142151043X]",1
"Bleach, Vol. 18","Kubo, Tite","VIZ Media LLC (2007), Edition: Illustrated, 216 pages",2007,Paperback,216 ,Your library,[1421510421],"[1421510421, 9781421510422]",1
"Bleach, Vol. 17","Kubo, Tite","VIZ Media LLC (2007), Edition: Illustrated, 224 pages",2007,Paperback,224 ,Your library,[9781421510415],"[9781421510415, 1421510413]",1
"Bleach, Vol. 16","Kubo, Tite","VIZ Media LLC (2006), Edition: Illustrated, 200 pages",2006,Paperback,200 ,Your library,[1421506149],"[1421506149, 9781421506142]",1
"Bleach, Vol. 15","Kubo, Tite","VIZ Media LLC (2006), Edition: Illustrated, 192 pages",2006,Paperback,192 ,Your library,[9781421506135],"[9781421506135, 1421506130]",1
"Bleach, Vol. 14","Kubo, Tite","VIZ Media LLC (2006), 208 pages",2006,Paperback,208 ,Your library,[1421506122],"[1421506122, 9781421506128]",1
"Bleach, Vol. 13","Kubo, Tite","VIZ Media LLC (2006), 192 pages",2006,Paperback,192 ,Your library,[1421506114],"[1421506114, 9781421506111]",1
"Bleach, Vol. 12","Kubo, Tite","VIZ Media LLC (2006), 208 pages",2006,Paperback,208 ,Your library,[9781421504032],"[9781421504032, 1421504030]",1
"Bleach, Vol. 9","Kubo, Tite","VIZ Media LLC (2005), Edition: Illustrated, 200 pages",2005,Paperback,200 ,Your library,[1591169240],"[1591169240, 9781591169246]",1
"Bleach, Vol. 8","Kubo, Tite","VIZ Media LLC (2005), Edition: Illustrated, 200 pages",2005,Paperback,200 ,Your library,[9781591168720],"[9781591168720, 1591168724]",1
"Bleach, Vol. 7","Kubo, Tite","VIZ Media LLC (2005), 200 pages",2005,Paperback,200 ,Your library,[1591168074],"[1591168074, 9781591168072]",1
"Bleach, Vol. 6","Kubo, Tite","VIZ Media LLC (2005), 200 pages",2005,Paperback,200 ,Your library,[1591167280],"[1591167280, 9781591167280]",1
"Bleach, Vol. 5","Kubo, Tite","VIZ Media LLC (2005), 192 pages",2005,Paperback,192 ,Your library,[1591164451],"[1591164451, 9781591164456]",1
"Bleach, Vol. 4","Kubo, Tite","VIZ Media LLC (2004), Edition: Illustrated, 192 pages",2004,Paperback,192 ,Your library,[1591164443],"[1591164443, 9781591164449]",1
"Bleach, Vol. 3","Kubo, Tite","VIZ Media LLC (2004), Edition: 1st, 192 pages",2004,Paperback,192 ,Your library,[1591164435],"[1591164435, 9781591164432]",1
"Bleach, Vol. 2","Kubo, Tite","VIZ Media LLC (2004), Edition: 1st, 192 pages",2004,Paperback,192 ,Your library,[1591164427],"[1591164427, 9781591164425]",1
Bleach Vol. 1: Strawberry And The Soul Reapers,"Kubo, Tite",Viz (2006),2006,Paperback,200 ,Your library,[1591164419],"[1591164419, 9781591164418]",1
The Bible in Australia: A Cultural History,"Lake, Meredith",,,Paperback,,"Your library, Culture",[1742237215],"[1742237215, 9781742237213]",1
The Girl Who Kicked the Hornets' Nest,"Larsson, Stieg","MacLehose Press (2009), Edition: Trade Paperback Edition, 576 pages",2009,Paperback,576 ,Your library,[1906694176],"[1906694176, 9781906694173]",1
The Girl Who Played With Fire (Millennium Trilogy),"Larsson, Stieg","Maclehose Press (2009), 608 pages",2009,Paperback,608 ,Your library,[9781906694180],"[9781906694180, 1906694184]",1
The Girl with the Dragon Tattoo (Millennium Trilogy Book 1),"Larsson, Stieg","Quercus Publishing Plc (2008), 542 pages",2008,Paperback,542 ,Your library,[9781847245458],"[9781847245458, 1847245455]",1
The Changeling,"LaValle, Victor","Canongate Books (2018), Edition: Main, 448 pages",2018,Paperback,448 ,Your library,[1786893827],"[1786893827, 9781786893826]",1
The Ballad of Black Tom,"LaValle, Victor","Tordotcom (2016), Edition: F First Edition, 160 pages",2016,Paperback,160 ,Your library,[0765387867],"[0765387867, 9780765387868]",1
Lady Chatterley's Lover (Wordsworth Classics),"Lawrence, D. H.","Wordsworth Editions Ltd (2005), Edition: New Ed, 304 pages",2005,Paperback,304 ,Your library,[1840224886],"[1840224886, 9781840224887]",1
Sons and Lovers (Wordsworth Classics),"Lawrence, D. H.","Wordsworth Editions Ltd (1997), Edition: Reprint, 400 pages",1997,Paperback,400 ,Your library,[9781853260476],"[9781853260476, 1853260479]",1
Women in Love (Penguin Classics),"Lawrence, D. H.","Penguin Classics (2007), Edition: New, 592 pages",2007,Paperback,592 ,Your library,[9780141441542],"[9780141441542, 0141441542]",1
Children's Classic Poetry,"Lawrie, Var - illus. by Robin","Michael O'Mara (1998), 96 pages",1998,Hardcover,,Your library,[1854793551],"[1854793551, 9781854793553]",1
Steering The Craft: A Twenty-First-Century Guide to Sailing the Sea of Story,"Le Guin, Ursula K.","Harper Perennial (2015), Edition: Reprint, 160 pages",2015,Paperback,160 ,Read - Donate,[0544611616],"[0544611616, 9780544611610]",1
To Kill a Mockingbird,"Lee, Harper","Pan (1974), Edition: New Ed, 285 pages",1974,Paperback,285 ,Your library,[0330241184],"[0330241184, 9780330241182]",1
Freakonomics,"Levitt, Steven D.","Harper (2009), Edition: International, 336 pages",2009,Paperback,336 ,"Your library, Read - keep, Science/Math/Engineering",[9780061956270],"[9780061956270, 0061956279]",1
"The Lion, the Witch and the Wardrobe (Novabook)","Lewis, C S","HarperCollins Publishers (1998), Edition: UK ed., 192 pages",1998,Paperback,192 ,Your library,[0006716776],"[0006716776, 9780006716778]",1
Screwtape Letters: Letters from a Senior to a Junior Devil (C. Lewis Signature Classic),"Lewis, C. S.","Collins (2012), 224 pages",2012,Paperback,224 ,Your library,[0007461240],"[0007461240, 9780007461240]",1
The Magician's Nephew (The Chronicles of Narnia),"Lewis, C. S.","HarperCollins (1998), Edition: First Thus, 192 pages",1998,Paperback,192 ,Your library,[0006716830],"[0006716830, 9780006716839]",1
The Horse and His Boy (The Chronicles of Narnia),"Lewis, C. S.","Collins (2000), 192 pages",2000,Paperback,192 ,Your library,[0006716784],"[0006716784, 9780006716785]",1
Prince Caspian (The Chronicles of Narnia),"Lewis, C. S.","HarperCollins (1998), 192 pages",1998,Paperback,192 ,Your library,[0006716792],"[0006716792, 9780006716792]",1
The Silver Chair (The Chronicles of Narnia),"Lewis, C. S.","HarperCollins (1998), Edition: New Ed, 192 pages",1998,Paperback,192 ,Your library,[0006716814],"[0006716814, 9780006716815]",1
The Last Battle (Chronicles of Narnia),"Lewis, C. S.","HarperCollins (1998), Edition: New Ed",1998,Paperback,,Your library,[0006716822],"[0006716822, 9780006716822]",1
The Voyage of the Dawn Treader (The Chronicles of Narnia),"Lewis, C. S.","HarperCollins (1998), 192 pages",1998,Paperback,192 ,Your library,[0006716806],"[0006716806, 9780006716808]",1
"The Space Trilogy: Out of the Silent Planet, Perelandra, and That Hideous Strength","Lewis, C. S.","HarperCollins (2013), Edition: 75th Anniversary edition, 728 pages",2013,Hardcover,728 ,Your library,[0007528418],"[0007528418, 9780007528417]",1
BROADCAST TALKS,"Lewis, C. S.","Geoffrey Bless / The Centenary Press (1944), Edition: Reprint",1944,Hardcover,,Your library,,,1
"100 Days of Drawing (Guided Sketchbook): Sketch, Paint, and Doodle Towards One Creative Goal","Lewis, Jennifer Orkin","Harry N. Abrams (2018), 208 pages",2018,Paperback,208 ,Your library,[141973217X],"[141973217X, 9781419732171]",1
Picnic at Hanging Rock,"Lindsay, Joan","Penguin Books (1977), Edition: Reprint, 192 pages",1977,Paperback,192 ,Your library,[0140031499],"[0140031499, 9780140031492]",1
The Magic Pudding - Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle & Sam Sawnoff,"Lindsay, Norman",Angus & Robertson (1985),1985,Paperback,171 ,Your library,[0207146136],"[0207146136, 9780207146138]",1
The Three-Body Problem: Cixin Liu: 1,"Liu, Cixin","Head of Zeus (2015), 448 pages",2015,Paperback,448 ,Your library,[178497157X],"[178497157X, 9781784971571]",1
"1,227 QI Facts To Blow Your Socks Off","Lloyd, John Mitchinson John","Faber &Faber (2013), Edition: Export - International edition",2013,Paperback,,Your library,[0571297943],"[0571297943, 9780571297948]",1
Lonely Planet Japanese Phrasebook & Dictionary (Phrasebooks),Lonely Planet,"Lonely Planet (2012), Edition: 6, 272 pages",2012,Paperback,272 ,Read - Donate,[1742201865],"[1742201865, 9781742201863]",1
The New Annotated H. P. Lovecraft (Annotated Books),"Lovecraft, H. P.","Liveright (2014), Edition: First Edition, 928 pages",2014,Hardcover,928 ,Your library,[0871404532],"[0871404532, 9780871404534]",1
to drink coffee with a ghost,"Lovelace, Amanda","Andrews McMeel Publishing (2019), Edition: Illustrated, 160 pages",2019,Hardcover,160 ,Your library,[1449494277],"[1449494277, 9781449494278]",1
STAR WARS: Episode 1 Tfhe Phantom Menace,"Lucas, Terry Brooks; George","Del Rey (1999), Edition: 1st, 324 pages",1999,Hardcover,324 ,Your library,[0091840457],"[0091840457, 9780091840457]",1
"The Tales of Beedle the Bard, Standard Edition","Lumos, Bloomsbury and","Bloomsbury and Lumos (2008), Edition: First Edition, 128 pages",2008,Paperback,128 ,Your library,[0747599874],"[0747599874, 9780747599876]",1
Black Plume,"Madsen, David","Grafton (1991), Edition: 0345327128, 352 pages",1991,Paperback,352 ,Your library,[0586209816],"[0586209816, 9780586209813]",1
"The World of Lore, Volume 3: Dreadful Places: Now a major online streaming series","Mahnke, Aaron","Wildfire (2018), 352 pages",2018,Paperback,352 ,Your library,[9781472251701],"[9781472251701, 1472251709]",1
An Imaginary Life,"Malouf, David","Vintage (1999), Edition: New Ed, 176 pages",1999,Paperback,176 ,Your library,[0099273845],"[0099273845, 9780099273844]",1
The Handmaid's Tale (Vintage Cklassics),"Margaret, Atwood","RANDOM HOUSE UK (2010), 336 pages",2010,Paperback,336 ,Your library,[0099511665],"[0099511665, 9780099511663]",1
Gone with the Wind,"Margaret, Mitchell","(2019), 1123 pages",2019,Ebook,1123 ,Your library,,,1
Doctor Faustus and Other Plays (Oxford World's Classics),"Marlowe, Christopher","Oxford University Press (1998), 544 pages",1998,Paperback,544 ,Your library,[0192834452],"[0192834452, 9780192834454]",1
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,"Mars, Roman","Hodder & Stoughton (2020), Edition: 01, 400 pages",2020,Hardcover,400 ,Your library,[1529355273],"[1529355273, 9781529355277]",1
Game of Thrones (Song of Ice and Fire),"Martin, George R. R.","Voyager (2011), Edition: TV tie-in edition, 801 pages",2011,Paperback,801 ,Your library,[0007428545],"[0007428545, 9780007428540]",1
"A Storm of Swords: Part 1 Steel and Snow (A Song of Ice and Fire, Book 3)","Martin, George R. R.","Voyager (2003), Edition: New Ed, 688 pages",2003,Paperback,688 ,Your library,[0006479901],"[0006479901, 9780006479901]",1
"A Dance With Dragons (A Song of Ice and Fire, Book 5)","Martin, George R. R.","Harper Voyager (2012), 976 pages",2012,Paperback,1181 ,Your library,[0006486118],"[0006486118, 9780006486114]",1
"A Storm of Swords: Part 2 Blood and Gold (A Song of Ice and Fire, Book 3)","Martin, George R. R.","Harper Voyager (2003), Edition: New Ed, 607 pages",2003,Paperback,607 ,Your library,[9780007119554],"[9780007119554, 0007119550]",1
"A Clash of Kings (A Song of Ice and Fire, Book 2)","Martin, George R. R.","Harper Voyager (2003), Edition: paperback / softback, 752 pages",2003,Paperback,752 ,Your library,[9780006479895],"[9780006479895, 0006479898]",1
A Feast for Crows (A Song of Ice & Fire),"Martin, George R. R.","Bantam (2006), Edition: paperback / softback, 704 pages",2006,Paperback,704 ,Your library,[0002247429],"[0002247429, 9780002247429]",1
More Tales of the City,"Maupin, Armistead","BLACK SWAN (TWLD) (2001), Edition: New Ed, 288 pages",2001,Paperback,288 ,Your library,[055299877X],"[055299877X, 9780552998772]",1
C,"McCarthy, Tom","Jonathan Cape (2010), Edition: 01, 320 pages",2010,Hardcover,320 ,Your library,[9780224090209],"[9780224090209, 0224090208]",1
The Thorn Birds,"McCullough, Colleen","HarperCollins Publishers (Australia) Pty Ltd (2005), Edition: New edition, 768 pages",2005,Paperback,768 ,Your library,[0732282241],"[0732282241, 9780732282240]",1
Growing Heirloom Flowers: Bring the Vintage Beauty of Heritage Blooms to Your Modern Garden,"McLaughlin, Chris","Cool Springs Press (2018), 160 pages",2018,Hardcover,160 ,"Your library, Read - keep, Reference, Gardening",[0760359393],"[0760359393, 9780760359396]",1
Souls in the Great Machine,"McMullen, Sean","Tor Books (2002), Edition: 1st, 597 pages",2002,Paperback,608 ,Your library,[0765344572],"[0765344572, 9780765344571]",1
Moby Dick (Collins Classics),"Melville, Herman","HarperCollins Publishers (2013), Edition: UK ed., 640 pages",2013,Paperback,640 ,Your library,[0007925565],"[0007925565, 9780007925568]",1
Journey to the Dark Goddess: How to Return to Your Soul,"Meredith, Jane","Moon Books (2012), Edition: Reprint, 241 pages",2012,Paperback,241 ,Your library,[1846946778],"[1846946778, 9781846946776]",1
The Art of Persuasion,"Midalia, Susan","Fremantle Press (2018), 244 pages",2018,Paperback,,Your library,[1925591034],"[1925591034, 9781925591033]",1
Perdido Street Station,"Mieville, China","Tor (2001), Edition: New Ed, 880 pages",2001,Paperback,880 ,Your library,[0330392891],"[0330392891, 9780330392891]",1
The Scar,"Mieville, China","Tor (2003), 816 pages",2003,Paperback,816 ,Your library,[0330392905],"[0330392905, 9780330392907]",1
The Crucible: A Play in Four Acts (Penguin Modern Classics),"Miller, Arthur","Penguin Classics (2000), Edition: Reprint, 144 pages",2000,Paperback,144 ,Your library,[9780141182551],"[9780141182551, 0141182555]",1
Batman: The Dark Knight Strikes Again,"Miller, Frank","DC Comics (2004), Edition: 3/28/05, 256 pages",2004,Paperback,256 ,Your library,[1563899299],"[1563899299, 9781563899294]",1
The Song of Achilles: Bloomsbury Modern Classics,"Miller, Madeline","Bloomsbury Paperbacks (2017), Edition: 01, 368 pages",2017,Paperback,368 ,Your library,[9781408891384],"[9781408891384, 1408891387]",1
The Buried Circle,"Mills, Jenni",HarperPress (2009),2009,Paperback,400 ,Your library,[0007292678],"[0007292678, 9780007292677]",1
DEAN WTP Classic 4BK Slipcase PB,"Milne, A. A.","Dean (2018), 720 pages",2018,Paperback,720 ,Your library,[9780603572685],"[9780603572685, 0603572685]",1
Paradise Lost and Paradise Regained (Collins Classics),"Milton, John","William Collins (2011), Edition: UK ed., 416 pages",2011,Paperback,416 ,Your library,[9780007902101],"[9780007902101, 0007902107]",1
"MILTON Complete Poetry & Selected Prose With English Metrical Translations of the Latin, Greek and Italian Poems Edited by E H Visiak With a Foreword by the late Sir Arnold Wilson","Milton, John",The Nonesuch Library (1952),1952,Hardcover,,Your library,,,1
Cloud Atlas,"Mitchell, David","Hodder & Stoughton (2005), Edition: First Edition, 544 pages",2005,Paperback,529 ,Your library,[0340822783],"[0340822783, 9780340822784]",1
Gone With The Wind,"Mitchell, Margaret","Pan Books (1974), Edition: New Ed, 1024 pages",1974,Paperback,1024 ,Your library,[9780330240048],"[9780330240048, 0330240048]",1
Qi: Complete And Utter Ignorance,"Mitchinson, John Lloyd;John","Faber & Faber (2008), Edition: 2000, 416 pages",2008,Paperback,416 ,Your library,[9780571246922],"[9780571246922, 0571246923]",1
Embassytown,"Miville, China","MacMillan (2011), Edition: First Edition, 416 pages",2011,Hardcover,416 ,Your library,[0230750761],"[0230750761, 9780230750760]",1
A Briefer History of Time,"Mlodinow, Stephen Hawking~Leonard","Bantam (2008), Edition: Reprint, 176 pages",2008,Paperback,176 ,Your library,[0593056973],"[0593056973, 9780593056974]",1
Master Mariner: Running Proud Bk. 1,"Monsarrat, Nicholas","Weidenfeld Nicolson Illustrated (1978), 524 pages",1978,Hardcover,524 ,Your library,[0304296090],"[0304296090, 9780304296095]",1
The Gardener's Companion,"Moody, Mary",New Holland (2001),2001,Hardcover,,"Your library, Read - keep, Reference, Gardening",[186436520X],"[186436520X, 9781864365207]",1
Utopia (Penguin Classics),"More, Thomas","Penguin Classics (2003), Edition: Reissue, 176 pages",2003,Paperback,176 ,Your library,[0140449108],"[0140449108, 9780140449105]",1
Utopia (Penguin Classics),"More, Thomas","Penguin Classics (2003), Edition: Revised ed., 176 pages",2003,Paperback,176 ,Your library,[9780140449105],"[9780140449105, 0140449108]",1
The Night Circus,"Morgenstern, Erin","Anchor Books (2012), Edition: 1st, 516 pages",2012,Paperback,516 ,Your library,[9780307744432],"[9780307744432, 0307744434]",1
How To: Absurd Scientific Advice for Common Real-World Problems,"Munroe, Randall","Riverhead Books (2019), Edition: Illustrated, 320 pages",2019,Hardcover,320 ,Your library,[0525537090],"[0525537090, 9780525537090]",1
1q84,"Murakami, Haruki","Random House Export (2011), Edition: Combined volume, 944 pages",2011,Hardcover,944 ,Your library,[1846555493],"[1846555493, 9781846555497]",1
Killing Commendatore: Haruki Murakami,"Murakami, Haruki","Harvill Secker (2018), Edition: 01, 704 pages",2018,Hardcover,704 ,Your library,[9781787300194],"[9781787300194, 1787300196]",1
Kafka on the Shore,"Murakami, Haruki","Vintage (2005), Edition: 01, 505 pages",2005,Paper Book,505 ,Your library,[9780099458326],"[9780099458326, 0099458322]",1
The Wind-Up Bird Chronicle: Haruki Murakami,"Murakami, Haruki","Vintage (1999), Edition: 01, 624 pages",1999,Paperback,624 ,Your library,[0099448793],"[0099448793, 9780099448792]",1
The House Witch: Your Complete Guide to Creating a Magical Space with Rituals and Spells for Hearth and Home,"Murphy-Hiscock, Arin","Adams Media (2018), 256 pages",2018,Hardcover,256 ,Your library,[1507209460],"[1507209460, 9781507209462]",1
"The Witch's Book of Self-Care: Magical Ways to Pamper, Soothe, and Care for Your Body and Spirit","Murphy-Hiscock, Arin","Adams Media (2018), 224 pages",2018,Hardcover,224 ,Your library,[1507209142],"[1507209142, 9781507209141]",1
"The Green Witch: Your Complete Guide to the Natural Magic of Herbs, Flowers, Essential Oils, and More","Murphy-Hiscock, Arin","Adams Media (2017), 256 pages",2017,Hardcover,256 ,Your library,[9781507204719],"[9781507204719, 150720471X]",1
Lolita (Popular Penguins),"Nabokov, Vladimir",Penguin (2008),2008,Paperback,336 ,Your library,[0141037431],"[0141037431, 9780141037431]",1
Pattern Magic 2,"Nakamichi, Tomoko","Laurence King Publishing (2011), Edition: Illustrated, 104 pages",2011,Paperback,104 ,Your library,[1856697061],"[1856697061, 9781856697064]",1
The World from Down Under - A Chat with Recent History,"Negus, George","HarperCollins (2010), Edition: Edition Unstated",2010,Paperback,,Your library,[0732276241],"[0732276241, 9780732276249]",1
Drake's Drum and Other Songs of the Sea,"Newbolt, Henry","Hodder & Stoughton (1943), Edition: First Edition",1943,Hardcover,,Your library,,,1
The End: The Human Experience of Death,"Nogrady, Bianca","Penguin Random House Australia (2014), 272 pages",2014,Paperback,272 ,Your library,[1742752055],"[1742752055, 9781742752051]",1
My People,"Noonuccal, Oodgeroo","John Wiley & Sons Australia Ltd (2007), Edition: 4th Edition",2007,Paperback,,Your library,[0731407407],"[0731407407, 9780731407408]",1
Bedknob and Broomstick (Puffin Books),"Norton, Mary","Viking Childrens Books (1980), 192 pages",1980,Paperback,192 ,Your library,[0140304452],"[0140304452, 9780140304459]",1
Halo: The Fall of Reach,"Nylund, Eric","Tor Books (2010), Edition: The Definitive, 416 pages",2010,Paperback,416 ,Your library,[0765328321],"[0765328321, 9780765328328]",1
Halo: First Strike,"Nylund, Eric","Tor Books (2010), Edition: The Definitive, 448 pages",2010,Paperback,448 ,Your library,[0765328348],"[0765328348, 9780765328342]",1
Ghosts of Onyx (Halo),"Nylund, Eric","Tor Books (2007), Edition: Reprint, 384 pages",2007,Paperback,384 ,Your library,[0765354705],"[0765354705, 9780765354709]",1
Halo Reach: Dr. Halsey's Journal,"Nylund, Eric S.","Unknown (2010), Edition: Assumed First Edition",2010,Hardcover,,Your library,,,1
Pearl #1: Pearl the Magical Unicorn,"Odgers, Sally",,,Paperback,,Your library,[1742993133],"[1742993133, 9781742993133]",1
Soul Eater Vol. 1,"Ohkubo, Atsushi","Yen Press (2016), 208 pages",2014,Ebook,,Your library,,,1
Seconds: A Graphic Novel (Original Fiction),"O'Malley, Bryan Lee","SelfMadeHero (2014), Edition: 01, 336 pages",2014,Hardcover,336 ,Your library,[1906838887],"[1906838887, 9781906838881]",1
Scheherazade: a Tale,"O'Neill, Anthony","HarperCollins Publishers (Australia) Pty Ltd (2002), 560 pages",2002,Paperback,560 ,Your library,[0732270782],"[0732270782, 9780732270780]",1
The Suicide Collectors: A Novel,"Oppegaard, David","St. Martin's Griffin (2009), Edition: 1, 304 pages",2009,Paperback,304 ,Your library,[0312586507],"[0312586507, 9780312586508]",1
Animal Farm (Modern Classics),"Orwell, George","Penguin UK (1951), Edition: New Impression, 128 pages",1951,Paperback,128 ,Your library,[0140008381],"[0140008381, 9780140008388]",1
Nineteen Eighty Four,"Orwell, George","Penguin UK (2008), 336 pages",2008,Paperback,336 ,Your library,[0141036141],"[0141036141, 9780141036144]",1
Metamorphoses (Penguin Classics ed.),Ovid,"Penguin Classics (2006), Edition: Reprint, 368 pages",1955,Paperback,368 ,Your library,[0140440585],"[0140440585, 9780140440584]",1
Inheritance (The Inheritance Cycle),"Paolini, Christopher","Random House USA Inc (2011), 880 pages",2011,Paperback,880 ,Your library,[9780385616508],"[9780385616508, 0385616503]",1
Brisingr,"Paolini, Christopher",Doubleday (2008),2008,Paperback,784 ,Your library,[0385613857],"[0385613857, 9780385613859]",1
Eldest,"Paolini, Christopher","Corgi (2006), Edition: 1st Corgi Edition, 704 pages",2006,Paperback,704 ,Your library,[0552552119],"[0552552119, 9780552552110]",1
Eragon,"Paolini, Christopher","Corgi Childrens (2006), Edition: Film Tie-in Ed, 528 pages",2006,Paperback,528 ,Your library,[0552553719],"[0552553719, 9780552553711]",1
The Lazarus Effect: The Science That is Rewriting the Boundaries Between Life and Death,"Parnia, Dr Sam",Rider (2013),2013,Paperback,,"Your library, Science/Math/Engineering",[1846043077],"[1846043077, 9781846043079]",1
H.G. Wells Short Stories (Gothic Fantasy),"Parrinder, Patrick","Flame Tree Collections (2017), Edition: Deluxe, 480 pages",2017,Hardcover,480 ,Your library,[1786644649],"[1786644649, 9781786644640]",1
DOCTOR ZHIVAGO,"Pasternak, Boris","Pantheon Books, Inc. (1957), Edition: 1st, 510 pages",1957,Hardcover,510 ,Your library,[0002611503],"[0002611503, 9780002611503]",1
Mysterious Railway Stories (A Star book),"Pattrick, William","Star (1985), Edition: New edition, 240 pages",1985,Paperback,240 ,Your library,[0352315695],"[0352315695, 9780352315694]",1
Pillow Thoughts,"Peppernell, Courtney",Andrews McMeel Publishing (2017),2017,Paperback,,Your library,[1449489753],"[1449489753, 9781449489755]",1
The Road Between,"Peppernell, Courtney","Andrews McMeel Publishing (2017), 288 pages",2017,Paperback,288 ,Your library,[1449490336],"[1449490336, 9781449490331]",1
The Count of Monte Cristo (Penguin Classics),"Pere, Alexandre Dumas","Penguin Classics (2003), Edition: Reissue, 1276 pages",2003,Paperback,1276 ,Your library,[0140449264],"[0140449264, 9780140449266]",1
Seven Types of Ambiguity,"Perlman, Elliot","Pan Macmillan Australia (2004), Edition: (2nd)",2004,Paperback,,Your library,[0330364944],"[0330364944, 9780330364942]",1
HALO: Official Spartan Field Manual,"Phegley, Kiel","Scholastic Inc. (2018), Edition: Illustrated, 208 pages",2018,Paperback,208 ,Your library,[1338253638],"[1338253638, 9781338253634]",1
The Fall of The House of Usher and Other Stories,"Poe, Edgar Allan","Marshall Cavendish (1987), Edition: Reprint, 556 pages",1987,Hardcover,556 ,Your library,[086307670X],"[086307670X, 9780863076701]",1
The Last Theorem,"Pohl, Arthur C. Clarke and Frederik","Harper Collins Omes (2008), Edition: paperback / softback",2008,Paperback,352 ,Your library,[0007290004],"[0007290004, 9780007290000]",1
Seventy-Eight Degrees of Wisdom: A Tarot Journey to Self-Awareness (A New Edition of the Tarot Classic),"Pollack, Rachel","Weiser Books (2019), Edition: Third Edition, Revised, 368 pages",2019,Paperback,368 ,Your library,[1578636655],"[1578636655, 9781578636655]",1
A hat full of sky,"Pratchett, Terry","Transworld (2005), Edition: New Ed, 320 pages",2005,Paperback,352 ,Your library,[9780552551441],"[9780552551441, 0552551449]",1
The Wee Free Men,"Pratchett, Terry","Random House Children's Books (2004), Edition: New Ed, 317 pages",2004,Paperback,279 ,Your library,[0552549053],"[0552549053, 9780552549059]",1
The Long Utopia: (The Long Earth 4),"Pratchett, Terry","Doubleday (2015), Edition: First Edition, 368 pages",2015,Hardcover,368 ,Your library,[0857521764],"[0857521764, 9780857521767]",1
"The Colour Of Magic: (Discworld Novel 1) (Discworld Novels, 1)","Pratchett, Terry","Corgi (2012), Edition: 01, 288 pages",2012,Paperback,288 ,Your library,[0552166596],"[0552166596, 9780552166591]",1
The Space Machine (Valancourt 20th Century Classics),"Priest, Christopher","Valancourt Books (2016), 334 pages",2016,Ebook,,Your library,,,1
Paradise Lost and Paradise Regained (Collins Classics),Professor John Milton,"HarperCollins Publishers (2011), Edition: UK ed., 416 pages",2011,Paperback,416 ,Your library,[0007902107],"[0007902107, 9780007902101]",1
"Remembrance of Things Past, Vol.1: Swann's Way; Within a Budding Grove (Penguin Classics)","Proust, Marcel","Penguin Classics (1985), 1056 pages",1985,Paperback,1056 ,Your library,[0140444831],"[0140444831, 9780140444834]",1
Penguin Classics 02 Remembrance Of Things Past (v. 2),"Proust, Marcel","Penguin Classic (1985), Edition: New Ed, 1208 pages",1985,Paperback,1208 ,Your library,[014044484X],"[014044484X, 9780140444841]",1
"In Search of Lost Time, Vol 4: Sodom and Gomorrah","Proust, Marcel","Vintage Classics (1996), 656 pages",1996,Paperback,656 ,Your library,[9780099362517],"[9780099362517, 0099362511]",1
From Aberystwyth with Love,"Pryce, Malcolm","Bloomsbury Publishing PLC (2010), Edition: UK ed.",2010,Paperback,288 ,Your library,[1408801027],"[1408801027, 9781408801024]",1
"His Dark Materials: ""Northern Lights"" WITH ""The Subtle Knife"" AND ""The Amber Spyglass""","Pullman, Philip","Scholastic (2007), Edition: Open market edn., 1016 pages",2007,Paperback,1024 ,Your library,[1407105477],"[1407105477, 9781407105475]",1
Daemon Voices: On Stories and Storytelling,"Pullman, Philip","Knopf (2018), 480 pages",2018,Hardcover,480 ,Your library,[0525521178],"[0525521178, 9780525521174]",1
"European masterpieces from the Metropolitan Museum of Art, New York",Queensland Art Gallery/Gallery of Modern Art,"South Brisbane, Queensland : Queensland Art Gallery/Gallery of Modern Art, 2021.",2021,Paper Book,240 ,Your library,[9781925922059],"[9781925922059, 1925922057]",1
"These Rebel Waves Raasch, Sara","Raasch, Sara","Balzer   Bray (2018), 480 pages",2018,Paperback,480 ,Your library,[9780062842725],"[9780062842725, 0062842722]",1
The Last World,"Ransmayr, Christoph","Chatto & Windus (1990), Edition: First Edition, 202 pages",1990,Hardcover,,Your library,[0701135026],"[0701135026, 9780701135027]",1
Story of O: A Novel,"Réage, Pauline","Ballantine Books (2013), Edition: 2/24/13, 240 pages",2013,Paperback,240 ,Your library,[0345545346],"[0345545346, 9780345545343]",1
Mortal Engines #1,"Reeve, Philip",,,Paperback,,Your library,[1760661872],"[1760661872, 9781760661878]",1
